id,nom_tâche,date_début,date_fin,état,id_employé
1,Tête appel voilà,2020-05-13,2021-06-18,En attente,11
2,Coin signifier,2021-07-27,2023-07-17,En attente,7
3,Selon chercher veille,2023-05-15,2023-08-14,Annulée,3
4,Rouge blond autant,2020-02-03,2021-02-27,Annulée,11
5,Moindre violent affirmer noir,2023-08-19,2023-09-08,Terminée,7
6,Somme direction souhaiter,2020-03-22,2020-10-20,En cours,17
7,Puisque prière,2024-09-18,2024-12-16,En cours,11
8,Branche demander danser cause sept,2020-03-18,2023-01-29,Annulée,18
9,Hier source importer dessiner,2021-06-03,2024-06-18,Annulée,13
10,Ci occasion durant militaire,2020-02-04,2021-06-22,Annulée,13
11,Se heureux difficile,2023-02-27,2023-07-31,Annulée,10
12,Loup créer quant à,2024-09-30,2024-10-01,Terminée,11
13,Vite tromper tour matin force,2020-05-01,2023-01-26,Annulée,7
14,Printemps amuser disparaître caractère,2022-03-02,2023-06-30,Terminée,17
15,Occuper premier sauter valeur,2023-03-14,2024-09-20,Terminée,3
16,Soit somme tomber,2021-12-05,2023-08-07,En cours,13
17,Fond sommet dimanche,2024-01-02,2024-07-07,Terminée,20
18,Terminer oreille glisser nouveau,2020-04-02,2021-04-05,En cours,16
19,Debout système installer passé avec,2021-08-01,2023-06-23,Annulée,10
20,Tranquille gris préférer rien poitrine,2023-11-24,2023-11-30,Terminée,15
21,Reste trou,2021-02-10,2024-05-21,Annulée,4
22,Certainement corps trait but mettre,2022-08-15,2025-01-16,Annulée,4
23,Herbe lequel pointe,2023-03-15,2024-08-20,En cours,11
24,Tandis Que sept sommeil,2022-12-03,2024-05-22,En cours,20
25,Village mal,2021-01-28,2025-01-23,Annulée,2
26,Second pays placer,2022-06-17,2023-05-03,En cours,12
27,Sans malade mon,2023-11-11,2024-07-07,En attente,3
28,Fermer gloire,2020-08-19,2021-10-27,Annulée,11
29,Subir permettre,2020-12-30,2021-03-12,En cours,11
30,Discours asseoir problème père dimanche,2023-04-17,2024-02-29,Annulée,18
31,Quant À fonction le,2024-06-26,2024-07-18,En attente,16
32,Vision aider cependant véritable,2023-06-14,2023-12-09,Terminée,5
33,Frapper voilà assez aide un,2020-01-23,2024-12-08,En attente,7
34,Conscience âme,2023-11-13,2024-02-16,En attente,11
35,Nord madame,2021-09-15,2021-10-30,Terminée,11
36,Choix interrompre éclairer montrer,2023-06-19,2024-05-28,En attente,14
37,Appuyer demander signifier,2023-12-19,2024-07-26,Annulée,1
38,Car chute naturellement éprouver,2021-06-29,2022-01-15,Terminée,13
39,Habiller appuyer près clair,2022-08-06,2024-12-04,En attente,19
40,Guère livre au grand,2023-02-27,2024-02-12,En cours,7
41,Goutte succès environ,2024-10-11,2024-12-31,Terminée,20
42,Victime arracher étroit six supporter,2020-10-18,2021-02-02,Annulée,17
43,Aide nombreux chant haine,2021-04-20,2023-03-17,En attente,12
44,Peine asseoir apprendre,2024-10-04,2024-10-04,En attente,3
45,Sept vaincre politique ami sérieux,2023-11-23,2025-01-09,Annulée,13
46,Apprendre dans cela tenir,2021-11-20,2022-07-25,Annulée,7
47,Étendue pour profiter pendre,2023-11-15,2024-05-16,En attente,6
48,Pourquoi arme action installer,2023-08-17,2024-06-28,Terminée,15
49,Carte terme lettre toucher,2022-05-22,2024-10-15,Annulée,8
50,Quatre ramasser trois,2020-02-02,2024-08-24,Annulée,17
51,Eaux peu valeur profondément,2023-09-24,2023-10-23,Annulée,7
52,Printemps donner jeune face,2023-04-22,2023-05-05,Terminée,6
53,Hôtel donner eaux,2020-03-20,2024-07-23,Annulée,12
54,Habitant trembler amour confiance calmer,2024-03-14,2024-04-11,Terminée,13
55,Rendre éclater,2023-11-07,2024-07-07,En attente,10
56,Là mourir,2023-07-06,2023-12-09,Annulée,1
57,Aussi tandis que cependant visite article,2020-02-08,2023-08-29,En attente,12
58,Lourd tu fatigue,2021-01-28,2023-11-19,En cours,5
59,Maintenant au,2023-02-10,2023-03-03,Annulée,3
60,Diriger triste raconter recueillir soirée,2023-01-05,2024-10-27,En attente,3
61,Vrai oreille vieux grave,2021-03-03,2024-01-27,En attente,8
62,Anglais changer étoile permettre,2023-01-14,2024-01-11,En cours,3
63,Bout rose instant,2023-08-03,2024-11-25,Annulée,4
64,Falloir soir grand remonter,2020-10-06,2022-06-25,En attente,5
65,Matière travail delà esprit plaisir,2024-01-20,2024-01-22,En attente,4
66,Rose porter lire homme,2024-08-28,2024-10-13,Annulée,6
67,Gagner principe,2024-07-25,2024-10-01,En cours,7
